user_id,items_count,steam_id,item_id,item_name,playtime_forever,publisher,genres,app_name,title,release_date,tags,reviews_url,specs,price,early_access,developer,user_url_y,funny,posted,recommend,sentiment_analysis,release_year
76561197970982479,277.0,7.656119797098248e+16,10.0,Counter-Strike,6.0,Valve,['Action'],Counter-Strike,Counter-Strike,2000-11-01,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'Competitive', 'First-Person', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Military', 'Strategy', 'Score Attack', 'Survival', 'Assassin', '1980s', 'Ninja', 'Tower Defense']",http://steamcommunity.com/app/10/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Valve,http://steamcommunity.com/id/sunnnnnnnnnnnny,,"Posted August 1, 2015.",True,2,2000
js41637,888.0,7.656119803586438e+16,20.0,Team Fortress Classic,0.0,Valve,['Action'],Team Fortress Classic,Team Fortress Classic,1999-04-01,"['Action', 'FPS', 'Multiplayer', 'Classic', 'Shooter', 'Class-Based', 'Team-Based', 'First-Person', ""1990's"", 'Co-op', 'Competitive', 'Fast-Paced', 'Online Co-Op', 'Remake', 'Retro', 'Mod', 'Funny', 'Adventure', 'Story Rich', 'Casual']",http://steamcommunity.com/app/20/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",4.99,False,Valve,http://steamcommunity.com/id/GetMLGRekt,1 person found this review funny,"Posted June 20, 2014.",False,0,1999
evcentric,137.0,7.656119800771256e+16,30.0,Day of Defeat,7.0,Valve,['Action'],Day of Defeat,Day of Defeat,2003-05-01,"['FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'War', 'Team-Based', 'Classic', 'Class-Based', 'First-Person', 'Historical', 'Military', 'Co-op', 'Singleplayer', 'Tactical']",http://steamcommunity.com/app/30/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",4.99,False,Valve,http://steamcommunity.com/id/SikZone,,"Posted December 9, 2013.",True,2,2003
Riot-Punch,328.0,7.656119796344586e+16,40.0,Deathmatch Classic,0.0,Valve,['Action'],Deathmatch Classic,Deathmatch Classic,2001-06-01,"['Action', 'FPS', 'Multiplayer', 'Classic', 'Shooter', 'First-Person', 'Arena Shooter', 'Sci-fi']",http://steamcommunity.com/app/40/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",4.99,False,Valve,http://steamcommunity.com/profiles/76561198022007815,46 people found this review funny,"Posted November 25, 2014.",True,2,2001
doctr,541.0,7.656119800209949e+16,50.0,Half-Life: Opposing Force,0.0,Valve,['Action'],Half-Life: Opposing Force,Half-Life: Opposing Force,1999-11-01,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Classic', 'Shooter', 'First-Person', 'Aliens', 'Adventure', ""1990's"", 'Atmospheric', 'Military', 'Story Rich', 'Co-op', 'Silent Protagonist', 'Great Soundtrack', 'Puzzle']",http://steamcommunity.com/app/50/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",4.99,False,Gearbox Software,http://steamcommunity.com/id/Nidowa,,"Posted September 9, 2013.",True,1,1999
MinxIsBetterThanPotatoes,371.0,7.656119800474462e+16,60.0,Ricochet,0.0,Valve,['Action'],Ricochet,Ricochet,2000-11-01,"['Action', 'FPS', 'Multiplayer', 'First-Person', 'Cyberpunk', 'Classic', 'Space', 'Sci-fi', 'Shooter', 'Conspiracy', 'Memes', 'Platformer', 'Psychological Horror']",http://steamcommunity.com/app/60/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Valve Anti-Cheat enabled']",4.99,False,Valve,http://steamcommunity.com/id/laxus,,"Posted November 27, 2013.",True,0,2000
NitemarePK,304.0,7.656119799095182e+16,70.0,Half-Life,0.0,Valve,['Action'],Half-Life,Half-Life,1998-11-08,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",http://steamcommunity.com/app/70/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",9.99,False,Valve,http://steamcommunity.com/profiles/76561198049916759,5 people found this review funny,"Posted October 28, 2015.",True,2,1998
themanwich,258.0,7.656119803529651e+16,130.0,Half-Life: Blue Shift,0.0,Valve,['Action'],Half-Life: Blue Shift,Half-Life: Blue Shift,2001-06-01,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Classic', 'Adventure', 'Zombies', 'Short', ""1990's"", 'Atmospheric', 'Story Rich', 'Silent Protagonist', 'Puzzle']",http://steamcommunity.com/app/130/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,False,Gearbox Software,http://steamcommunity.com/id/ellzorrr,,"Posted January 7, 2015.",True,2,2001
maplemage,629.0,7.656119802658426e+16,300.0,Day of Defeat: Source,4733.0,Valve,['Action'],Day of Defeat: Source,Day of Defeat: Source,2010-07-12,"['FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'Team-Based', 'Military', 'War', 'Class-Based', 'First-Person', 'Historical', 'Tactical', 'Classic', 'Realistic', 'Strategy', 'Gore', 'Massively Multiplayer', 'Online Co-Op', 'Simulation', 'Comedy']",http://steamcommunity.com/app/300/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",9.99,False,Valve,http://steamcommunity.com/profiles/76561198085097560,,"Posted December 19, 2013.",True,2,2010
Wackky,0.0,7.656119803911704e+16,240.0,Counter-Strike: Source,1853.0,Valve,['Action'],Counter-Strike: Source,Counter-Strike: Source,2004-11-01,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Team-Based', 'Tactical', 'First-Person', 'Competitive', 'PvP', 'Military', 'War', 'e-sports', 'Moddable', 'Strategy', 'Difficult', 'Singleplayer', 'Survival', 'Simulation', 'Atmospheric', 'Sandbox']",http://steamcommunity.com/app/240/reviews/?browsefilter=mostrecent&p=1,"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK']",19.99,False,Valve,http://steamcommunity.com/profiles/76561198074323290,,"Posted December 16, 2014.",True,1,2004
corrupted_soul,115.0,7.656119800765992e+16,3830.0,Psychonauts,333.0,Double Fine Productions,['Action'],Psychonauts,Psychonauts,2005-04-19,"['Platformer', 'Comedy', 'Adventure', 'Cult Classic', 'Action', 'Singleplayer', 'Third Person', 'Funny', '3D Platformer', 'Psychological', 'Classic', 'Story Rich', 'Exploration', 'Great Soundtrack', 'Surreal', 'Cartoony', 'Action-Adventure', 'Indie', 'Cute', '3D Vision']",http://steamcommunity.com/app/3830/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",9.99,False,Double Fine Productions,http://steamcommunity.com/id/696969696969699,,"Posted February 2, 2013.",True,2,2005
